actor,observer,phase,category,position,newpart,tasks,end
robot,match,auto,Starting,,FALSE,startingPosition,
robot,match,auto,Motion,,FALSE,movedAuto|crossOpponentSector|collided,
robot,match,auto,Pickup,,TRUE,pickupPowerCellsT|pickupPowerCellsS,
robot,match,auto,Launch,,TRUE,launchLower|launchOuter|launchInner,
robot,match,teleop,Defense,,FALSE,defense,
robot,match,teleop,Panel,,FALSE,rotationControl|positionControl,
robot,match,teleop,Pickup,,TRUE,pickupPowerCellsL|pickupPowerCellsG|defendedAgainst,
robot,match,teleop,Launch,,TRUE,launchLower|launchOuter|launchInner|passPowerCells,
robot,match,finish,Climb,,FALSE,climbPosition,
robot,match,finish,,,FALSE,isLevel,
robot,match,finish,Difficulties,,TRUE,disabled|tempDisabled|noShow|fallOver,
robot,match,waiting,Waiting for Server,,FALSE,,